CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
UPL;0.946;0.873;0.907;0.009;7;0.946;0.873;0.907;0.009;7
Hello World;0.783;0.784;0.783;0.034;7;0.914;0.914;0.913;0.034;6
Weather Station;0.571;0.532;0.531;0.021;7;0.800;0.745;0.743;0.021;5
LXEP;0.429;0.429;0.429;0.002;7;1.000;1.000;1.000;0.002;3
Xor Example;1.000;0.829;0.893;0.020;7;1.000;0.829;0.893;0.020;7
Implementacion;0.571;0.449;0.494;0.003;7;1.000;0.786;0.864;0.003;4
ordem;0.952;0.893;0.918;0.027;7;0.952;0.893;0.918;0.027;7
ID;0.429;0.429;0.429;0.000;7;1.000;1.000;1.000;0.000;3
Observatorio;0.429;0.429;0.429;0.004;7;1.000;1.000;1.000;0.004;3
eshop;0.821;0.730;0.760;0.009;7;0.958;0.852;0.887;0.009;6
AA;0.813;0.732;0.748;0.016;7;0.948;0.854;0.873;0.016;6
E-SHOP;0.543;0.571;0.556;0.008;7;0.950;1.000;0.972;0.008;4
Example Product Line Course Using SPLOT;0.679;0.592;0.626;0.014;7;0.950;0.829;0.876;0.014;5
AvionFEatures;0.679;0.679;0.679;0.012;7;0.950;0.950;0.950;0.012;5
search engine;0.611;0.696;0.641;0.008;7;0.856;0.975;0.898;0.008;5
NovoSiga;0.667;0.686;0.675;0.010;7;0.933;0.960;0.945;0.010;5
Disenio;0.571;0.536;0.551;0.004;7;1.000;0.938;0.964;0.004;4
CIMS PL;0.429;0.429;0.429;0.001;7;1.000;1.000;1.000;0.001;3
testing;0.998;1.000;0.999;0.125;7;0.998;1.000;0.999;0.125;7
Address Book;1.000;1.000;1.000;0.018;7;1.000;1.000;1.000;0.018;7
VODPlayer;0.793;1.000;0.872;0.047;7;0.793;1.000;0.872;0.047;7
isolation;0.571;0.571;0.571;0.003;7;1.000;1.000;1.000;0.003;4
Jogo;0.786;0.786;0.786;0.001;14;1.000;1.000;1.000;0.001;11
desordem;0.968;0.883;0.920;0.027;7;0.968;0.883;0.920;0.027;7
1;0.946;1.000;0.971;0.007;7;0.946;1.000;0.971;0.007;7
Mobile Phone GF;0.571;0.571;0.571;0.014;7;1.000;1.000;1.000;0.014;4
rtrt;1.000;0.971;0.984;0.020;7;1.000;0.971;0.984;0.020;7
Sylvain Example;0.741;0.655;0.680;0.004;14;0.943;0.833;0.865;0.004;11
MK Andes;0.857;0.857;0.857;0.004;7;1.000;1.000;1.000;0.004;6
Computer Selection;0.571;0.571;0.571;0.002;7;1.000;1.000;1.000;0.002;4
HandlingSystem;0.429;0.429;0.429;0.000;7;1.000;1.000;1.000;0.000;3
Modelo;0.429;0.429;0.429;0.004;7;1.000;1.000;1.000;0.004;3
JCS;0.849;0.810;0.812;0.023;7;0.849;0.810;0.812;0.023;7
MyFeatureModel;0.946;0.943;0.936;0.017;7;0.946;0.943;0.936;0.017;7
Mobile Game;0.980;1.000;0.990;0.132;7;0.980;1.000;0.990;0.132;7
votacao eletronica;0.821;0.857;0.838;0.007;7;0.958;1.000;0.978;0.007;6
Online Shop Feature Model;0.554;0.476;0.498;0.010;7;0.969;0.833;0.871;0.010;4
Website;1.000;1.000;1.000;0.031;7;1.000;1.000;1.000;0.031;7
Mobile Tourist Planner;0.571;0.592;0.556;0.027;7;0.800;0.829;0.778;0.027;5
VOD feature model;1.000;1.000;1.000;0.016;7;1.000;1.000;1.000;0.016;7
Mauricio Alférez;0.857;0.800;0.825;0.005;7;1.000;0.933;0.963;0.005;6
Asghar;0.960;0.942;0.950;0.016;7;0.960;0.942;0.950;0.016;7
Minimalistic PC Feature Model;0.429;0.429;0.429;0.004;7;1.000;1.000;1.000;0.004;3
MobileMedia;0.871;0.905;0.885;0.028;14;0.938;0.974;0.953;0.028;13
Rotary_Element;0.857;0.571;0.657;0.012;7;1.000;0.667;0.767;0.012;6
IntelligentTutoringSystem;1.000;1.000;1.000;0.021;7;1.000;1.000;1.000;0.021;7
Multiplicador de n matrices;0.429;0.429;0.429;0.004;7;1.000;1.000;1.000;0.004;3
ETRobocon;0.991;1.000;0.995;0.059;7;0.991;1.000;0.995;0.059;7
Telecommunication_System;0.657;0.540;0.569;0.004;7;0.919;0.756;0.796;0.004;5
a;0.973;0.871;0.905;0.010;7;0.973;0.871;0.905;0.010;7
Content model;0.977;0.981;0.979;0.022;7;0.977;0.981;0.979;0.022;7
AllSports Feature Model;0.946;0.946;0.946;0.023;7;0.946;0.946;0.946;0.023;7
Movil;0.929;0.704;0.773;0.007;7;0.929;0.704;0.773;0.007;7
asdsfa ewtwwe;0.621;0.714;0.658;0.006;7;0.870;1.000;0.921;0.006;5
ZMUConcernExample;0.821;0.804;0.812;0.004;7;0.958;0.938;0.947;0.004;6
aaaaaa;1.000;1.000;1.000;0.008;7;1.000;1.000;1.000;0.008;7
Feature Tree Example;0.571;0.571;0.571;0.008;7;1.000;1.000;1.000;0.008;4
FeatureModelName;0.500;0.571;0.524;0.002;7;0.875;1.000;0.917;0.002;4
Dental Surgery;0.571;0.571;0.571;0.002;7;1.000;1.000;1.000;0.002;4
E-portal;1.000;1.000;1.000;0.008;7;1.000;1.000;1.000;0.008;7
disenio II;1.000;0.971;0.985;0.029;7;1.000;0.971;0.985;0.029;7
Mobile Phone UPT;0.571;0.571;0.571;0.014;7;1.000;1.000;1.000;0.014;4
Test1;0.571;0.571;0.571;0.008;7;1.000;1.000;1.000;0.008;4
carpl;0.571;0.571;0.571;0.002;7;1.000;1.000;1.000;0.002;4
r;0.560;0.510;0.529;0.041;7;0.981;0.893;0.926;0.041;4
Nudelsalat;0.673;0.714;0.692;0.012;7;0.943;1.000;0.969;0.012;5
FeatureModel1;1.000;1.000;1.000;0.016;7;1.000;1.000;1.000;0.016;7
poker spl;0.704;0.714;0.696;0.010;7;0.821;0.833;0.812;0.010;6
Simnumero;0.571;0.518;0.538;0.008;7;1.000;0.906;0.942;0.008;4
abcdefg;0.536;0.571;0.551;0.006;7;0.938;1.000;0.964;0.006;4
Mobile-Phone;0.679;0.592;0.626;0.014;7;0.950;0.829;0.876;0.014;5
