CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
SPL_e_commerce;0.516;0.317;0.336;0.027;88;0.590;0.362;0.383;0.027;77
Analisis;0.145;0.102;0.086;0.002;176;0.463;0.325;0.275;0.003;55
Autosoft;0.654;0.382;0.444;0.055;88;0.748;0.436;0.508;0.055;77
PC model;0.182;0.056;0.072;0.009;88;0.485;0.148;0.193;0.009;33
Telefono;0.051;0.089;0.059;0.007;88;0.136;0.238;0.157;0.007;33
Phone;0.548;0.368;0.411;0.027;176;0.730;0.491;0.547;0.027;132
NCV_Simulation;0.228;0.076;0.101;0.002;88;0.608;0.204;0.270;0.002;33
celular;0.170;0.136;0.121;0.011;88;0.341;0.273;0.243;0.011;44
Eval_board;0.033;0.063;0.041;0.002;88;0.265;0.500;0.330;0.002;11
collapse_view_example;0.318;0.145;0.161;0.015;88;0.509;0.232;0.258;0.015;55
jjjjj;0.315;0.181;0.195;0.018;88;0.631;0.361;0.391;0.018;44
2 - Eleição de um prefeito e um Vereador;0.545;0.398;0.445;0.006;88;0.727;0.531;0.594;0.006;66
MoviesApp;0.369;0.162;0.191;0.007;88;0.590;0.259;0.305;0.007;55
erewr;0.288;0.188;0.203;0.012;88;0.462;0.300;0.324;0.012;55
Webshop_SPLE2014_Chalmers;0.096;0.094;0.072;0.004;88;0.383;0.375;0.287;0.004;22
Movie System;0.252;0.109;0.120;0.003;88;0.403;0.175;0.192;0.003;55
Eshop-ufrj;0.351;0.271;0.297;0.012;88;0.561;0.433;0.475;0.012;55
