CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
mon model;0.300;0.500;0.375;0.006;2;0.600;1.000;0.750;0.006;1
Xor Example 2;1.000;1.000;1.000;0.035;2;1.000;1.000;1.000;0.035;2
TEST_NAme;1.000;1.000;1.000;0.035;2;1.000;1.000;1.000;0.035;2
ABMS;0.996;1.000;0.998;0.060;2;0.996;1.000;0.998;0.060;2
Text Editor;0.764;1.000;0.858;0.003;2;0.764;1.000;0.858;0.003;2
XOR NEW;1.000;1.000;1.000;0.043;2;1.000;1.000;1.000;0.043;2
SimpleModel;0.500;0.833;0.619;0.012;2;0.500;0.833;0.619;0.012;2
Ubuntu;0.000;0.000;0.000;0.006;2;0.000;0.000;0.000;0.000;0
Prontuário Eletrônico de Pacientes;1.000;1.000;1.000;0.010;2;1.000;1.000;1.000;0.010;2
mo;1.000;1.000;1.000;0.029;2;1.000;1.000;1.000;0.029;2
test_fm;1.000;1.000;1.000;0.002;2;1.000;1.000;1.000;0.002;2
JDFM;0.603;0.600;0.597;0.010;2;0.603;0.600;0.597;0.010;2
Bandymas;1.000;1.000;1.000;0.018;2;1.000;1.000;1.000;0.018;2
Attempt of mine;0.971;1.000;0.985;0.032;2;0.971;1.000;0.985;0.032;2
ubuntu;0.600;1.000;0.750;0.009;2;0.600;1.000;0.750;0.009;2
Rotation1;1.000;1.000;1.000;0.005;2;1.000;1.000;1.000;0.005;2
Imolementacion II;0.500;0.833;0.619;0.001;2;0.500;0.833;0.619;0.001;2
Topology;0.000;0.000;0.000;0.004;2;0.000;0.000;0.000;0.000;0
Cellphone;0.350;0.500;0.412;0.007;2;0.700;1.000;0.824;0.007;1
TW SPL Hard Choices;1.000;1.000;1.000;0.001;2;1.000;1.000;1.000;0.001;2
Mobile Media v3;1.000;1.000;1.000;0.001;2;1.000;1.000;1.000;0.001;2
drupal sawsen;1.000;1.000;1.000;0.008;2;1.000;1.000;1.000;0.008;2
Example Mobile Phone;0.813;0.857;0.833;0.014;2;0.813;0.857;0.833;0.014;2
Basic Car;1.000;1.000;1.000;0.008;2;1.000;1.000;1.000;0.008;2
SPL Studies;0.734;1.000;0.825;0.061;2;0.734;1.000;0.825;0.061;2
testISA2012;0.813;0.857;0.833;0.014;2;0.813;0.857;0.833;0.014;2
Match engine;1.000;1.000;1.000;0.016;2;1.000;1.000;1.000;0.016;2
